Doodson Number;τ;s;h;p;N’;ps;l;l’;F;D;Ω;Re(δkf)*1e-5;Im(δkf)*1e-5 ;In-Phase Amp * 1e-12;Out-Of-Phase Amp * 1e-12
125755;1;-3;0;2;0;0;2;0;2;0;2;-29;3;-0.1;0.0
127555;1;-3;2;0;0;0;0;0;2;2;2;-30;3;-0.1;0.0
135645;1;-2;0;1;-1;0;1;0;2;0;1;-45;5;-0.1;0.0
135655;1;-2;0;1;0;0;1;0;2;0;2;-46;5;-0.7;0.1
137455;1;-2;2;-1;0;0;-1;0;2;2;2;-49;5;-0.1;0.0
145545;1;-1;0;0;-1;0;0;0;2;0;1;-82;7;-1.3;0.1
145555;1;-1;0;0;0;0;0;0;2;0;2;-83;7;-6.8;0.6
147555;1;-1;2;0;0;0;0;0;0;2;0;-91;9;0.1;0.0
153655;1;0;-2;1;0;0;1;0;2;-2;2;-168;14;0.1;0.0
155445;1;0;0;-1;-1;0;-1;0;2;0;1;-193;16;0.1;0.0
155455;1;0;0;-1;0;0;-1;0;2;0;2;-194;16;0.4;0.0
155655;1;0;0;1;0;0;1;0;0;0;0;-197;16;1.3;-0.1
155665;1;0;0;1;1;0;1;0;0;0;1;-198;16;0.3;0.0
157455;1;0;2;-1;0;0;-1;0;0;2;0;-231;18;0.3;0.0
157465;1;0;2;-1;1;0;-1;0;0;2;1;-233;18;0.1;0.0
162556;1;1;-3;0;0;1;0;1;2;-2;2;-834;58;-1.9;0.1
163545;1;1;-2;0;-1;0;0;0;2;-2;1;-1117;76;0.5;0.0
163555;1;1;-2;0;0;0;0;0;2;-2;2;-1138;77;-43.4;2.9
164554;1;1;-1;0;0;-1;0;-1;2;-2;2;-1764;104;0.6;0.0
164556;1;1;-1;0;0;1;0;1;0;0;0;-1764;104;1.6;-0.1
165345;1;1;0;-2;-1;0;-2;0;2;0;1;-3048;92;0.1;0.0
165535;1;1;0;0;-2;0;0;0;0;0;-2;-3630;195;0.1;0.0
165545;1;1;0;0;-1;0;0;0;0;0;-1;-3845;229;-8.8;0.5
165555;1;1;0;0;0;0;0;0;0;0;0;-4084;262;470.9;-30.2
165565;1;1;0;0;1;0;0;0;0;0;1;-4355;297;68.1;-4.6
165575;1;1;0;0;2;0;0;0;0;0;2;-4665;334;-1.6;0.1
166455;1;1;1;-1;0;0;-1;0;0;1;0;85693;21013;0.1;0.0
166544;1;1;1;0;-1;-1;0;-1;0;0;-1;35203;2084;-0.1;0.0
166554;1;1;1;0;0;-1;0;-1;0;0;0;22794;358;-20.6;-0.3
166556;1;1;1;0;0;1;0;1;-2;2;-2;22780;358;0.3;0.0
166564;1;1;1;0;1;-1;0;-1;0;0;1;16842;-85;-0.3;0.0
167355;1;1;2;-2;0;0;-2;0;0;2;0;3755;-189;-0.2;0.0
167365;1;1;2;-2;1;0;-2;0;0;2;1;3552;-182;-0.1;0.0
167555;1;1;2;0;0;0;0;0;-2;2;-2;3025;-160;-5.0;0.3
167565;1;1;2;0;1;0;0;0;-2;2;-1;2892;-154;0.2;0.0
168554;1;1;3;0;0;-1;0;-1;-2;2;-2;1638;-93;-0.2;0.0
173655;1;2;-2;1;0;0;1;0;0;-2;0;370;-20;-0.5;0.0
173665;1;2;-2;1;1;0;1;0;0;-2;1;369;-20;-0.1;0.0
175445;1;2;0;-1;-1;0;-1;0;0;0;-1;325;-17;0.1;0.0
175455;1;2;0;-1;0;0;-1;0;0;0;0;324;-17;-2.1;0.1
175465;1;2;0;-1;1;0;-1;0;0;0;1;323;-16;-0.4;0.0
183555;1;3;-2;0;0;0;0;0;0;-2;0;194;-8;-0.2;0.0
185355;1;3;0;-2;0;0;-2;0;0;0;0;185;-7;-0.1;0.0
185555;1;3;0;0;0;0;0;0;-2;0;-2;184;-7;-0.6;0.0
185565;1;3;0;0;1;0;0;0;-2;0;-1;184;-7;-0.4;0.0
185575;1;3;0;0;2;0;0;0;-2;0;0;184;-7;-0.1;0.0
195455;1;4;0;-1;0;0;-1;0;-2;0;-2;141;-4;-0.1;0.0
195465;1;4;0;-1;1;0;-1;0;-2;0;-1;141;-4;-0.1;0.0
55565;0;0;0;0;1;0;0;0;0;0;1;0.01347;-0.00541;16.6;-6.7
55575;0;0;0;0;2;0;0;0;0;0;2;0.01124;-0.00488;-0.1;0.1
56554;0;0;1;0;0;-1;0;-1;0;0;0;0.00547;-0.00349;-1.2;0.8
57555;0;0;2;0;0;0;0;0;-2;2;-2;0.00403;-0.00315;-5.5;4.3
57565;0;0;2;0;1;0;0;0;-2;2;-1;0.00398;-0.00313;0.1;-0.1
58554;0;0;3;0;0;-1;0;-1;-2;2;-2;0.00326;-0.00296;-0.3;0.2
63655;0;1;-2;1;0;0;1;0;0;-2;0;0.00101;-0.00242;-0.3;0.7
65445;0;1;0;-1;-1;0;-1;0;0;0;-1;0.00080;-0.00237;0.1;-0.2
65455;0;1;0;-1;0;0;-1;0;0;0;0;0.00080;-0.00237;-1.2;3.7
65465;0;1;0;-1;1;0;-1;0;0;0;1;0.00079;-0.00237;0.1;-0.2
65655;0;1;0;1;0;0;1;0;-2;0;-2;0.00077;-0.00236;0.1;-0.2
73555;0;2;-2;0;0;0;0;0;0;-2;0;-0.00009;-0.00216;0.0;0.6
75355;0;2;0;-2;0;0;-2;0;0;0;0;-0.00018;-0.00213;0.0;0.3
75555;0;2;0;0;0;0;0;0;-2;0;-2;-0.00019;-0.00213;0.6;6.3
75565;0;2;0;0;1;0;0;0;-2;0;-1;-0.00019;-0.00213;0.2;2.6
75575;0;2;0;0;2;0;0;0;-2;0;0;-0.00019;-0.00213;0.0;0.2
83655;0;3;-2;1;0;0;1;0;-2;-2;-2;-0.00065;-0.00202;0.1;0.2
85455;0;3;0;-1;0;0;-1;0;-2;0;-2;-0.00071;-0.00201;0.4;1.1
85465;0;3;0;-1;1;0;-1;0;-2;0;-1;-0.00071;-0.00201;0.2;0.5
93555;0;4;-2;0;0;0;0;0;-2;-2;-2;-0.00102;-0.00193;0.1;0.2
95355;0;4;0;-2;0;0;-2;0;-2;0;-2;-0.00106;-0.00192;0.1;0.1
245655;2;-1;0;1;0;0;1;0;2;0;2;0.00006;0;-0.3;0
255555;2;0;0;0;0;0;0;0;2;0;2;0.00004;0;-1.2;0
